DEPTH,BVW,KLOGH,PHIF,VSH,DT,GR,NPHI,PEF,RHOB,RT,LITHOLOGY
3229.4,0.0877,0.001,0.0877,0.7561,87.0434,99.4976,0.2416,6.8726,2.5145,1.2997,Claystone
3229.5,0.0804,0.001,0.0804,0.7423,86.5739,97.7827,0.2314,6.9752,2.5267,1.3465,Claystone
3229.6,0.0707,0.001,0.0707,0.7435,86.3093,97.9401,0.223,7.0717,2.5428,1.4126,Claystone
3229.7,0.0613,0.001,0.0613,0.7422,86.1087,97.772,0.2188,7.0967,2.5583,1.5057,Claystone
3229.8,0.0555,0.001,0.0555,0.734,85.9799,96.7416,0.2178,7.0397,2.5678,1.6413,Claystone
3229.9,0.0551,0.001,0.0551,0.7292,86.1121,96.1383,0.2183,6.9486,2.5685,1.6308,Claystone
3230,0.0589,0.001,0.0589,0.7095,86.3417,93.6767,0.2188,6.8849,2.5621,1.5495,Claystone
3230.1,0.0634,0.001,0.0634,0.6962,86.6821,92.023,0.2187,6.8726,2.5548,1.5336,Claystone
3230.2,0.0659,0.001,0.0659,0.6856,87.3238,90.6957,0.2189,6.8997,2.5506,1.5386,Claystone
3230.3,0.0669,0.001,0.0669,0.6844,87.9835,90.5715,0.2207,6.935,2.549,1.542,Claystone
3230.4,0.0686,0.001,0.0686,0.7126,88.5307,94.0758,0.2249,6.9575,2.5461,1.533,Claystone
3230.5,0.0722,0.001,0.0722,0.7119,89.0455,94.0046,0.2304,6.9674,2.5401,1.5019,Claystone
3230.6,0.0757,0.001,0.0757,0.733,89.4821,96.6263,0.2358,6.9755,2.5344,1.474,Claystone
3230.7,0.0768,0.001,0.0768,0.7367,89.7157,97.095,0.2402,6.9891,2.5325,1.4505,Claystone
3230.8,0.0756,0.001,0.0756,0.7479,89.9492,98.4991,0.2433,7.002,2.5345,1.4194,Claystone
3230.9,0.0738,0.001,0.0738,0.7577,90.1532,99.7345,0.2461,7.007,2.5375,1.3529,Claystone
3231,0.0727,0.001,0.0727,0.7899,90.2425,103.7408,0.2485,7.0011,2.5393,1.2623,Claystone
3231.1,0.0729,0.001,0.0729,0.8017,90.246,105.2185,0.2497,6.9865,2.539,1.2414,Claystone
3231.2,0.0735,0.001,0.0735,0.8061,90.1842,105.7514,0.2492,6.961,2.538,1.1988,Claystone
3231.3,0.0737,0.001,0.0737,0.7952,89.992,104.3979,0.248,6.932,2.5376,1.1839,Claystone
3231.4,0.073,0.001,0.073,0.7934,89.7244,104.173,0.2469,6.9218,2.5389,1.1741,Claystone
3231.5,0.0719,0.001,0.0719,0.7866,89.394,103.3304,0.2452,6.956,2.5406,1.153,Claystone
3231.6,0.0722,0.001,0.0722,0.7865,88.9155,103.2994,0.242,7.0481,2.5402,1.1432,Claystone
3231.7,0.0722,0.001,0.0722,0.7703,88.3283,101.3034,0.2376,7.1541,2.5402,0.9856,Claystone
