DEPTH,BVW,KLOGH,VSH,DT,GR,NPHI,PEF,RHOB,RT,LITHOLOGY
3613.716027,0.046599999,0.336600006,0.457800001,72.90019989,57.64979935,0.202299997,3.095099926,2.314500093,15.72309971,Limestone
3613.868428,0.0539,0.272799999,0.470299989,73.88839722,59.08380127,0.204999998,2.961499929,2.309999943,11.1260004,Limestone
3614.020828,0.0506,0.299199998,0.470999986,73.92769623,59.1617012,0.215299994,2.993299961,2.3052001,13.16079998,Limestone
3614.173228,0.048999999,0.454100013,0.452300012,75.54879761,57.01269913,0.211899996,3.076299906,2.296499968,14.11450005,Sandstone
3614.325629,0.0515,0.786300004,0.431400001,78.55760193,54.6147995,0.214599997,2.987799883,2.281100035,12.5909996,Sandstone
3614.478029,0.0539,1.072700024,0.415199995,78.7621994,52.74570084,0.201000005,2.877399921,2.269399881,11.12660027,Sandstone
3614.630429,0.0568,1.749199986,0.403299987,78.60700226,51.3771019,0.221799999,2.888099909,2.255300045,10.01930046,Sandstone
3614.78283,0.057500001,2.719500065,0.385199994,79.33750153,49.29349899,0.222499996,3.054899931,2.245699883,9.710900307,Sandstone
3614.93523,0.057599999,3.48029995,0.377400011,80.47840118,48.40390015,0.223800004,3.016000032,2.233500004,9.717900276,Sandstone
3615.08763,0.057500001,3.999000072,0.368699998,82.0868988,47.40250015,0.209900007,2.790299892,2.22390008,9.664899826,Sandstone
3615.24003,0.057999998,5.173099995,0.363200009,83.22570038,46.76750183,0.224800006,2.6098001,2.218699932,9.61989975,Sandstone
3615.392431,0.057500001,6.259600163,0.357199997,84.35269928,46.08229828,0.234899998,2.542599916,2.219799995,9.87250042,Sandstone
3615.544831,0.057100002,6.603700161,0.351300001,89.25759888,45.39590073,0.226999998,2.528899908,2.221699953,9.929900169,Sandstone
3615.697231,0.0579,6.843599796,0.348500013,91.313797,45.07709885,0.225099996,2.493099928,2.222899914,9.551199913,Sandstone
3615.849632,0.057500001,9.186900139,0.337300003,91.77850342,43.78939819,0.233600006,2.487699986,2.22300005,9.744099617,Sandstone
3616.002032,0.057300001,9.104800224,0.333299994,90.18560028,43.33269882,0.220599994,2.481699944,2.222199917,9.695400238,Sandstone
3616.154432,0.057300001,7.99450016,0.338699996,87.46990204,43.9469986,0.224900007,2.473999977,2.23029995,9.722999573,Sandstone
3616.306833,0.057700001,6.247700214,0.354400009,89.17500305,45.75099945,0.236000001,2.456099987,2.230799913,9.686200142,Sandstone
3616.459233,0.056499999,5.395800114,0.355399996,88.48390198,45.87390137,0.225899994,2.426700115,2.238800049,10.08780003,Sandstone
3616.611633,0.056000002,6.590799809,0.345400006,86.77110291,44.72669983,0.222000003,2.43930006,2.235199928,10.21630001,Sandstone
3616.764034,0.055199999,7.707900047,0.337799996,87.74069977,43.84809875,0.222399995,2.528100014,2.236000061,10.55669975,Sandstone
3616.916434,0.055300001,8.409899712,0.337199986,89.14959717,43.78319931,0.231000006,2.655900002,2.234100103,10.59459972,Sandstone
3617.068834,0.055500001,7.420300007,0.343899995,87.96779633,44.55350113,0.233500004,2.719199896,2.2348001,10.57499981,Sandstone
3617.221234,0.054499999,7.427700043,0.342500001,86.91850281,44.39300156,0.229800001,2.689199924,2.234899998,11.01850033,Sandstone
3617.373635,0.0546,7.877699852,0.340499997,88.07849884,44.15660095,0.224099994,2.738300085,2.225699902,10.98779964,Sandstone
3617.526035,0.0537,7.859899998,0.342400014,91.53079987,44.37469864,0.228799999,2.77940011,2.225300074,11.49429989,Sandstone
3617.678435,0.053599998,8.705499649,0.341800004,92.415802,44.30270004,0.238700002,2.94569993,2.222800016,11.66329956,Sandstone
3617.830836,0.051399998,8.317399979,0.341399997,91.98069763,44.25880051,0.234599993,3.16960001,2.226500034,12.8448,Sandstone
3617.983236,0.0502,7.374899864,0.342299998,91.06510162,44.36809921,0.219500005,3.381999969,2.22480011,13.41129971,Sandstone
3618.135636,0.049699999,9.50510025,0.335299999,89.46929932,43.55849838,0.231700003,3.394599915,2.221899986,13.91129971,Sandstone
3618.288037,0.049400002,9.588100433,0.336499989,87.14910126,43.69290161,0.235699996,3.1243999,2.221400023,14.14729977,Sandstone
3618.440437,0.0493,9.895999908,0.332399994,83.46279907,43.22200012,0.224600002,2.886899948,2.21690011,14.09109974,Sandstone
3618.592837,0.0491,8.251799583,0.340700001,83.23670197,44.17720032,0.224600002,2.745399952,2.218400002,14.30319977,Sandstone
3618.745237,0.047899999,9.270299911,0.332700014,84.79290009,43.25630188,0.223100007,2.764199972,2.224499941,15.08069992,Sandstone
3618.897638,0.046799999,11.79409981,0.313499987,86.34349823,41.04859924,0.213499993,2.832499981,2.238100052,15.53929996,Sandstone
3619.050038,0.046100002,13.11450005,0.301699996,85.17340088,39.70040131,0.210099995,2.931499958,2.255800009,15.76819992,Sandstone
3619.202438,0.043499999,14.02639961,0.289499998,79.78520203,38.28850174,0.207499996,2.982300043,2.282399893,17.59250069,Sandstone
3619.354839,0.043000001,15.06729984,0.277799994,73.00740051,36.94609833,0.207699999,2.973599911,2.309700012,17.56900024,Sandstone
