DEPTH,BVW,KLOGH,PHIF,VSH,DT,GR,NPHI,PEF,RHOB,RT,LITHOLOGY
3989.9,0.024,192.511,0.152,0.104,,17.667,0.12,5.05,2.375,59.189,Sandstone
3990,0.024,219.365,0.154,0.099,,17.125,0.121,5.131,2.37,58.45,Sandstone
3990.1,0.024,231.348,0.159,0.101,,17.3,0.125,5.151,2.362,56.475,Sandstone
3990.2,0.025,261.685,0.164,0.099,,17.114,0.126,5.098,2.348,56,Sandstone
3990.3,0.025,285.829,0.17,0.1,,17.221,0.126,5.001,2.331,55.335,Sandstone
3990.4,0.025,322.98,0.174,0.098,,16.953,0.125,4.897,2.318,55.916,Sandstone
3990.5,0.025,397.967,0.178,0.092,,16.184,0.128,4.807,2.309,55.542,Sandstone
3990.6,0.025,480.477,0.181,0.086,,15.441,0.133,4.74,2.304,55.251,Sandstone
3990.7,0.025,531.698,0.185,0.083,,15.189,0.136,4.697,2.299,55.337,Sandstone
3990.8,0.025,507.439,0.188,0.089,,15.85,0.138,4.68,2.291,56.603,Sandstone
3990.9,0.025,400.075,0.193,0.104,,17.736,0.139,4.68,2.28,58.236,Sandstone
3991,0.025,350.255,0.197,0.115,,19.035,0.141,4.675,2.267,60.037,Sandstone
3991.1,0.025,420.915,0.202,0.11,,18.463,0.142,4.643,2.256,59.471,Sandstone
3991.2,0.025,505.482,0.207,0.105,,17.862,0.144,4.583,2.245,59.475,Sandstone
3991.3,0.025,571.555,0.211,0.103,,17.568,0.146,4.524,2.235,60.956,Sandstone
3991.4,0.025,599.259,0.214,0.104,,17.666,0.147,4.502,2.227,61.101,Sandstone
3991.5,0.026,494.578,0.217,0.116,,19.099,0.149,4.527,2.221,60.905,Sandstone
3991.6,0.026,433.953,0.219,0.124,,20.111,0.153,4.577,2.218,60.423,Sandstone
3991.7,0.026,438.665,0.221,0.125,,20.246,0.156,4.624,2.218,61.198,Sandstone
3991.8,0.026,328.477,0.222,0.14,,22.093,0.16,4.654,2.218,60.283,Sandstone
3991.9,0.026,239.032,0.225,0.158,,24.228,0.166,4.665,2.217,59.85,Sandstone
3992,0.026,163.26,0.225,0.176,,26.475,0.166,4.652,2.217,60.338,Sandstone
3992.1,0.026,158.428,0.228,0.18,,26.97,0.172,4.62,2.216,64.823,Sandstone
3992.2,0.026,120.054,0.228,0.194,,28.705,0.173,4.592,2.214,64.601,Sandstone
3992.3,0.026,72.79,0.231,0.22,,31.871,0.176,4.611,2.212,62.603,Sandstone
3992.4,0.027,74.548,0.232,0.221,,31.927,0.179,4.69,2.211,59.558,Sandstone
3992.5,0.027,64.161,0.233,0.229,,32.941,0.182,4.799,2.211,57.124,Sandstone
3992.6,0.027,31.393,0.234,0.264,,37.202,0.185,4.894,2.212,58.834,Sandstone
3992.7,0.026,23.399,0.235,0.279,,38.985,0.187,4.956,2.213,63.336,Sandstone
3992.8,0.026,32.095,0.236,0.265,,37.284,0.19,4.998,2.212,65.426,Sandstone
3992.9,0.026,32.229,0.238,0.267,,37.527,0.195,5.052,2.211,64.823,Sandstone
3993,0.026,31.893,0.241,0.269,,37.833,0.2,5.129,2.21,64.5,Sandstone
3993.1,0.026,41.289,0.242,0.257,,36.417,0.203,5.205,2.21,65.04,Sandstone
3993.2,0.026,52.05,0.241,0.246,,34.958,0.203,5.251,2.213,64.488,Sandstone
3993.3,0.027,67.221,0.239,0.232,,33.252,0.202,5.271,2.217,60.703,Sandstone
3993.4,0.025,66.152,0.238,0.231,,33.223,0.201,5.325,2.22,70.708,Sandstone
3993.5,0.025,75.652,0.238,0.225,,32.404,0.201,5.479,2.221,294.917,Sandstone
3993.6,0.026,98.227,0.236,0.211,,30.678,0.202,5.728,2.227,62290.77,Sandstone
3993.7,0.026,119.414,0.23,0.196,,28.903,0.202,5.994,2.244,62115.012,Sandstone
3993.8,0.026,130.144,0.222,0.185,,27.531,0.203,6.159,2.269,31.706,Sandstone
3993.9,0.038,91.582,0.214,0.194,,28.683,0.2,6.173,2.29,24.343,Sandstone
3994,0.036,110.267,0.21,0.182,,27.184,0.197,6.069,2.297,27.138,Sandstone
3994.1,0.032,126.003,0.21,0.176,,26.464,0.19,5.889,2.287,36.612,Sandstone
3994.2,0.029,156.669,0.215,0.169,,25.621,0.186,5.686,2.27,45.836,Sandstone
3994.3,0.034,199.369,0.217,0.16,,24.476,0.183,5.5,2.26,30.226,Sandstone
3994.4,0.036,291.62,0.218,0.142,,22.294,0.183,5.36,2.258,27.008,Sandstone
3994.5,0.032,376.799,0.217,0.129,,20.757,0.184,5.273,2.261,34.672,Sandstone
3994.6,0.025,351.214,0.217,0.132,,21.13,0.188,5.237,2.266,65.16,Sandstone
3994.7,0.016,420.99,0.217,0.124,,20.088,0.192,5.255,2.269,183.822,Sandstone
3994.8,0.018,562.543,0.219,0.111,,18.544,0.194,5.304,2.268,143.519,Sandstone
3994.9,0.018,485.788,0.221,0.12,,19.647,0.195,5.334,2.262,137.04,Sandstone
3995,0.02,513.646,0.223,0.119,,19.563,0.195,5.31,2.256,117.144,Sandstone
3995.1,0.021,546.399,0.225,0.118,,19.407,0.196,5.222,2.252,106.258,Sandstone
3995.2,0.021,594.155,0.226,0.115,,19.069,0.198,5.083,2.249,101.922,Sandstone
3995.3,0.024,698.732,0.228,0.109,,18.3,0.198,4.912,2.245,83.405,Sandstone
