DEPTH,BVW,KLOGH,PHIF,VSH,DT,GR,NPHI,PEF,RHOB,RT,LITHOLOGY
3102.102,0.00549999,0.001,0.26989999,0.33250001,77.9302978,46.5732994,0.31240001,0,2.21199989,1022.16497,Sandstone
3102.2544,0.0035,0.001,0.268,0.33889999,82.4104995,47.2803993,0.31889998,0,2.21510004,2545.33593,Sandstone
3102.4068,0.00279999,0.001,0.2662,0.34529998,85.9861984,47.9874992,0.32539999,0,2.21810007,4068.50708,Sandstone
3102.5592,0.0027,0.001,0.2651,0.37509998,90.2158966,51.2663002,0.33169999,0,2.22000002,4410.65576,Sandstone
3102.7116,0.00329999,0.001,0.2651,0.44179999,89.8354034,58.5937004,0.3375,0,2.22000002,2893.49194,Sandstone
3102.864,0.0048,0.001,0.2651,0.50840002,87.875801,65.9210968,0.3434,0,2.22000002,1376.32897,Sandstone
3103.0164,0.0379,0.001,0.26570001,0.57099997,87.7305984,72.8087005,0.3488,0,2.2190001,21.8462009,Sandstone
3103.1688,0.04369999,0.001,0.2712,0.60039997,85.2285003,76.0486984,0.35100001,0,2.2098999,16.4207,Sandstone
3103.3212,0.05339999,0.001,0.27669999,0.62989997,83.9605026,79.2886962,0.3531,0,2.20070004,10.9953002,Sandstone
3103.4736,0.075,0.001,0.2822,0.65939998,83.5659027,82.5287017,0.35519999,0,2.19160008,5.5697999,Sandstone
3103.626,0.00499999,0.001,0.29379999,0.66699999,82.9962005,83.3722,0.3601,0,2.17239999,1263.46301,Sandstone
3103.7784,0.0034,0.001,0.3066,0.67009997,83.8258972,83.7136001,0.36559998,0,2.15100002,2786.052,Sandstone
3103.9308,0.00319999,0.001,0.31949999,0.67320001,83.7926025,84.0550003,0.37099999,0,2.12969994,4308.64111,Sandstone
3104.0832,0.00329999,0.001,0.32629999,0.66710001,82.2678985,83.3813018,0.37459999,0,2.11829996,5000,Sandstone
3104.2356,0.00329999,0.001,0.32809999,0.65329998,82.2250976,81.8634033,0.37659999,0,2.11529994,5000,Sandstone
3104.388,0.00329999,0.001,0.33000001,0.63950002,82.2500991,80.3454971,0.3786,0,2.11220002,5000,Sandstone
3104.5404,0.00329999,0.001,0.3269,0.62830001,82.9502029,79.1168975,0.37740001,0,2.11730003,4597.31396,Sandstone
3104.6928,0.00319999,0.001,0.3104,0.62449997,83.5335998,78.6902008,0.36700001,0,2.14470005,3078.27392,Sandstone
3104.8452,0.00449999,0.001,0.29390001,0.62059998,82.7621994,78.2633972,0.35659998,0,2.17210006,1559.23303,Sandstone
3104.9976,0.02789999,0.001,0.27739998,0.61669999,82.0948028,77.8367004,0.3463,0,2.19959998,40.1918983,Sandstone
3105.15,0.0333,0.001,0.26269999,0.59439998,82.9453964,75.3880004,0.34569999,0,2.22399997,28.2399997,Sandstone
3105.3024,0.02779999,0.001,0.24799999,0.57190001,83.5846023,72.9068984,0.34529998,0,2.24839997,40.4015007,Sandstone
3105.4548,0.02439999,0.001,0.2333,0.54930001,84.2005996,70.4259033,0.34490001,0,2.27279996,52.5629997,Sandstone
3105.6072,0.02339999,0.001,0.238,0.54290002,84.3799972,69.7200012,0.34999999,0,2.2650001,56.9696998,Sandstone
3105.7596,0.02319999,0.001,0.25080001,0.54329997,84.1055984,69.7627029,0.35730001,0,2.24370002,58.1066017,Sandstone
3105.912,0.023,0.001,0.2637,0.54369997,81.3221969,69.805397,0.36469998,0,2.22230005,59.2434997,Sandstone
3106.0644,0.00669999,0.001,0.25870001,0.54650002,86.2173995,70.1108016,0.363,0,2.23060011,696.184875,Sandstone
3106.2168,0.0038,0.001,0.2293,0.5525,85.7850036,70.775299,0.34909999,0,2.27940011,2201.927,Sandstone
3106.3692,0.00289999,0.001,0.1999,0.55849999,84.0402984,71.4396972,0.33520001,0,2.32809996,3707.66992,Sandstone
3106.5216,0.00249999,0.001,0.18089999,0.56480002,82.9757003,72.1323013,0.3258,0,2.35960006,5000,Sandstone
3106.674,0.00249999,0.001,0.22499999,0.57270002,83.052597,72.9947967,0.3443,0,2.28649997,5000,Sandstone
3106.8264,0.0027,0.001,0.26910001,0.5805,85.8536987,73.8573989,0.3628,0,2.21329998,5000,Sandstone
3106.9788,0.0031,0.001,0.31310001,0.5884,86.0358963,74.7200012,0.3813,0,2.14019989,5000,Sandstone
